Player,Pos,Team,Age,Yrs,Dollars,Guaranteed,% GTD,Avg. Salary,Free Agent
MeltonDe'Anthony Melton (2018-2019) ,PG,MEMSigned w/PHX,21,2,"$2,365,852","$2,365,852",100.00%,"$1,182,926",2020
PattersonPatrick Patterson (2019-2019) ,PF,LAC,30,1,"$2,331,593","$2,331,593",100.00%,"$2,331,593",2020
ThomasIsaiah Thomas (2019-2019) ,PG,WAS,30,1,"$2,320,044","$2,320,044",100.00%,"$2,320,044",2020
BurksAlec Burks (2019-2019) ,SG,GSW,28,1,"$2,320,044","$2,320,044",100.00%,"$2,320,044",2020
WilliamsKenrich Williams (2018-2019) ,SF,NOP,24,2,"$2,255,316","$2,255,316",100.00%,"$1,127,658",2020
CarterJevon Carter (2018-2019) ,PG,PHXSigned w/MEM,24,2,"$2,255,316","$2,255,316",100.00%,"$1,127,658",2020
DialloHamidou Diallo (2018-2019) ,SG,OKC,21,2,"$2,255,316","$2,255,316",100.00%,"$1,127,658",2021
JohnsonAlize Johnson (2018-2019) ,PF,IND,23,2,"$2,255,316","$2,255,316",100.00%,"$1,127,658",2020
BroekhoffRyan Broekhoff (2018-2019) ,SF,DAL,29,2,"$2,255,316","$2,255,316",100.00%,"$1,127,658",2020
DorseyTyler Dorsey (2017-2018) ,SG,MEMSigned w/ATL,23,2,"$2,193,857","$2,193,857",100.00%,"$1,096,929",2019
JerebkoJonas Jerebko (2018-2018) ,PF,GSW,32,1,"$2,176,260","$2,176,260",100.00%,"$2,176,260",2019
PondexterQuincy Pondexter (2018-2018) ,SG,SAS,31,1,"$2,165,481","$2,165,481",100.00%,"$2,165,481",2019
MillerMalcolm Miller (2018-2019) ,SF,TOR,26,2,"$2,045,649","$2,045,649",100.00%,"$1,022,825",2020
BoucherChris Boucher (2018-2019) ,PF,TOR,26,2,"$2,045,649","$2,045,649",100.00%,"$1,022,825",2020
O'QuinnKyle O'Quinn (2019-2019) ,C,PHI,29,1,"$2,028,594","$2,028,594",100.00%,"$2,028,594",2020
NoelNerlens Noel (2019-2019) ,C,OKC,25,1,"$2,028,594","$2,028,594",100.00%,"$2,028,594",2020
Carter-WilliamsMichael Carter-Williams (2019-2019) ,PG,ORL,28,1,"$2,028,594","$2,028,594",100.00%,"$2,028,594",2020
BurkeTrey Burke (2019-2019) ,PG,PHI,26,1,"$2,028,594","$810,000",39.93%,"$2,028,594",2020
DanielsTroy Daniels (2019-2019) ,SG,LAL,28,1,"$2,028,594","$2,028,594",100.00%,"$2,028,594",2020
VonlehNoah Vonleh (2019-2019) ,PF,MIN,24,1,"$2,000,000","$2,000,000",100.00%,"$2,000,000",2020
FrazierTim Frazier (2019-2019) ,PG,DET,29,1,"$1,882,867","$1,882,867",100.00%,"$1,882,867",2020
Robinson IIIGlenn Robinson III (2019-2019) ,SG,GSW,25,1,"$1,882,867","$1,882,867",100.00%,"$1,882,867",2020
MudiayEmmanuel Mudiay (2019-2019) ,PG,UTH,23,1,"$1,737,145","$1,737,145",100.00%,"$1,737,145",2020
NetoRaul Neto (2019-2019) ,PG,PHI,27,1,"$1,737,145","$1,737,145",100.00%,"$1,737,145",2020
SampsonJaKarr Sampson (2019-2019) ,SG,IND,26,1,"$1,737,145","$1,737,145",100.00%,"$1,737,145",2020
NoahJoakim Noah (2018-2018) ,C,MEM,34,1,"$1,731,173",-,-,"$1,731,173",2019
ChrissMarquese Chriss (2019-2019) ,PF,GSW,22,1,"$1,678,854",-,-,"$1,678,854",2020
DialloCheick Diallo (2019-2019) ,PF,PHX,23,1,"$1,678,854","$1,678,854",100.00%,"$1,678,854",2021
BellJordan Bell (2019-2019) ,C,MIN,24,1,"$1,620,564","$1,620,564",100.00%,"$1,620,564",2020
BurtonDeonte Burton (2018-2019) ,SF,OKC,25,2,"$1,568,439","$1,568,439",100.00%,"$784,220",2020
WanamakerBrad Wanamaker (2019-2019) ,PG,BOS,30,1,"$1,445,697","$1,445,697",100.00%,"$1,445,697",2020
PinsonTheo Pinson (2019-2019) ,SG,BKN,24,1,"$1,445,697","$1,445,697",100.00%,"$1,445,697",2021
Walton Jr.Derrick Walton Jr. (2019-2019) ,PG,LAC,24,1,"$1,445,697",-,-,"$1,445,697",2020
FariedKenneth Faried (2018-2018) ,PF,HOU,29,1,"$917,272","$917,272",100.00%,"$917,272",2019
GabrielWenyen Gabriel (2019-2019) ,PF,SAC,22,1,"$898,310",-,-,"$898,310",2020
HarrisonShaquille Harrison (2019-2019) ,PG,CHISigned w/MEM,26,1,"$898,310","$175,000",19.48%,"$898,310",2020
RandleChasson Randle (2018-2018) ,PG,WAS,26,1,"$869,094","$869,094",100.00%,"$869,094",2019
LinJeremy Lin (2018-2018) ,PG,TOR,31,1,"$697,358","$697,358",100.00%,"$697,358",2019
StauskasNik Stauskas (2018-2018) ,SG,CLE,26,1,"$540,472","$540,472",100.00%,"$540,472",2019
BogutAndrew Bogut (2018-2018) ,C,GSW,34,1,"$486,892","$486,892",100.00%,"$486,892",2019
MeeksJodie Meeks (2018-2018) ,SG,TOR,32,1,"$196,724","$196,724",100.00%,"$196,724",2019
